Dopplerit 2.13
Dorallcharit 6.1
Dorrit 2.46
Douglasit 4.68
Dovyrenit 2.409
Downeyit 2.288
Doyleit 3.13
Dozyit 4.044
Dravit-Sch 5.03
Dresserit 5.48
Dreyerit 2
Droninoit 3.51
Drugmanit 3.3
Drysdallit 6.1
Dualith 3.3
Duftit 2.6
Duftit-Alpha 2.03
Dumontit 1.8
Dumortierit 3.617
Dumortierit-Supergruppe 5.6
Dundasit 3.58
Dunilit 4.84
Durangit 1.01
Duranusit 2.437
Dusmatovit 3.22
Duttonit 2.12
Duxit 3.75
Dwornikit 3.79
Dypingit 2.19
Dysanalyt 3.68
Dyskrasit 4.36
Dzhalindit 3.9
Dzharkenit 5.63
Dzhuluit 2.73
EAB-Zeolith-Strukturgruppe 4.49
EDI-Zeolith-Strukturgruppe 3.09
EON-Zeolith-Strukturgruppe 2.64
EPI-Zeolith-Strukturgruppe 2.59
Eakerit 4.17
Earlandit 4.55
Earlshannonit 3.654
Eastonit 2.47
Ecandrewsit 2.09
Eckermannit 2.09
Eckhardit 3.11
Eclarit 9.59
Edenharterit 3.84
Edenit 5.24
Edgarbaileyit 3.07
Edgarit 2.75
Edgrewit 2.35
Edingtonit 2.372
Edoylerit 5.35
Edwardsit 7.1
Effenbergerit 5.18
Efremovit 3.24
Egeran 4.28
Eggletonit 3.54
Egu 1.8
Ehrleit 3.1
Eichbergit 3.39
Eifelit 2.8
Eis 2.575
Eisen 10.75
Eisencalcit 7.7
Eisenkiesel 2.987
Eisenrose 2.67
Eitelit 6.6
Ekanit 3.76
Ekaterinit 5.52
Ekmanit 3.76
Ekplexit 0.87
Elaterit 2.93
Elbait 3.86
Elbait-Liddicoatit-Serie 3.38
Elbrusit 3.64
Eldfellit 2.053
Eliseevit 2.93
Ellenbergerit 1.95
Ellestadit-Gruppe 2.9
Ellisit 4.99
Elpidit 3.17
Elsmor 3.17
Eltyubyuit 4.644
Elyit 6.85
Embolit 5.09
Embreyit 3.059
Emeleusit 3.059
Emilit 9.4
Emmerichit 4.99
Emplektit 2.8
Empressit 2.7
Enalit 7.13
Enargit 3.53
Endlichit 3.57
Engelhauptit 2.52
Enhydros 2.84
Enstatit 8.327
Ephesit 2.67
Epididymit 0.9167
Epidot 7.873
Epistolit 2.737
Epsomit 2.44
Ercitit 4.061
Erdit 7.14
Ericssonit 3.05
Ericssonit-2O 4.801
Erikapohlit 2.85
Erionit-K 3.17
Erionit-Serie 2.38
Erlianit 7.18
Erlichmanit 2.995
Ernienickelit 2.54
Ernstit 6.232
Ertixiit 6.4
Erythrin 2.76
Erythrosiderit 7.025
Eskimoit 4.52
Eskolait 6.3
Esperanzait 7.5
Esseneit 4.4
Ettringit 3.856
Euchlorin 2.68
Eudialyt 3.1
Eugenit 3.06
Eugsterit 2.984
Euklas 2.55
Eukryptit 3.45
Eulytin 4.327
Eurekadumpit 3.74
Evansit 2.2
Evdokimovit 2.77
Evenkit 1.67
Eveslogit 2.75
Ewaldit 2.3
Eyselit 3.22
Ezcurrit 5.054
Eztlit 3.62
FAU-Zeolith-Strukturgruppe 3.6
Fabianit 4.21
Faheyit 3.18
Fahleit 3.18
Fahlerz 3.05
Fairbankit 3.22
Fairfieldit 3.26
Falcondoit 3.04
Falkenauge 3.17
Falkmanit 3.2
Famatinit 4.66
Fantappi 4.2
Farringtonit 4.48
Fassinait 2.68
